Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Solo Kills / 10min,"Weapon Accuracy, %",Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,"Crit Accuracy, %",Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Long Range Kills / 10min,Storm Arrow Kills / 10min,Recon Assists / 10min,Dragonstrike Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Venom Mine Kills / 10min,"Helix Rocket Accuracy, %",Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Death Blossom Kills / 10min,"Airtime, %",Barrage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills / 10min,Terra Surge Kills / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,"Pummel Accuracy, %",Pummel Kills / 10min,Ravenous Vortex Kills / 10min,Annihilation Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Life Grip Saves / 10min,Thorn Valley Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Reinhardt,Gold,2.95,2.61,50.60,16.22,6.16,124,8079,,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,3.87,6.77,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Platinum,2.92,3.67,50.15,16.46,6.04,118,8400,,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3.82,7.21,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Diamond,2.88,4.41,50.10,16.45,5.80,112,8529,,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,3.73,7.44,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Master,2.73,4.57,49.55,15.74,5.44,108,8288,,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,3.54,7.20,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Grandmaster,2.54,4.78,49.74,15.02,5.14,108,7771,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,3.47,6.73,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Widowmaker,All,2.46,2.28,46.75,15.39,3.46,21,5708,,8.21,45,,,,,,,,10.61,4.11,,,,,,,,,,,,,,,3.15,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Bronze,2.61,1.00,42.06,14.17,3.62,17,5344,,7.71,44,,,,,,,,9.58,3.86,,,,,,,,,,,,,,,3.02,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Silver,2.63,1.19,44.24,14.75,3.62,19,5541,,7.85,45,,,,,,,,10.07,4.03,,,,,,,,,,,,,,,3.10,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Gold,2.59,1.38,45.47,15.31,3.64,20,5714,,7.97,45,,,,,,,,10.47,4.12,,,,,,,,,,,,,,,3.15,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Platinum,2.49,2.17,45.86,15.64,3.56,21,5774,,8.23,45,,,,,,,,10.78,4.17,,,,,,,,,,,,,,,3.20,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Diamond,2.38,3.28,47.03,15.67,3.47,22,5761,,8.47,45,,,,,,,,10.89,4.20,,,,,,,,,,,,,,,3.18,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Master,2.30,4.71,47.13,15.29,3.29,21,5667,,8.44,44,,,,,,,,10.57,4.06,,,,,,,,,,,,,,,3.13,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Grandmaster,2.31,5.44,49.65,14.77,3.04,18,5609,,8.22,43,,,,,,,,10.19,3.96,,,,,,,,,,,,,,,3.10,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,All,2.91,4.09,47.09,19.17,7.13,51,9023,1299,8.09,,,,,,,,,9.70,1.48,34,,,,,7,,,,,,,1.41,,,,,,,,,,,,,,56,7.27,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Bronze,2.73,2.37,42.60,17.84,7.45,62,8282,1316,8.57,,,,,,,,,8.98,1.65,31,,,,,7,,,,,,,1.22,,,,,,,,,,,,,,53,6.24,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Silver,2.83,3.03,45.53,18.64,7.62,60,8573,1322,8.39,,,,,,,,,9.37,1.64,32,,,,,7,,,,,,,1.28,,,,,,,,,,,,,,54,6.55,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Gold,2.89,3.67,46.71,18.95,7.46,56,8799,1303,8.26,,,,,,,,,9.54,1.55,33,,,,,7,,,,,,,1.31,,,,,,,,,,,,,,56,6.89,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Platinum,2.91,4.25,46.52,19.32,7.18,51,9072,1296,8.12,,,,,,,,,9.79,1.50,34,,,,,7,,,,,,,1.41,,,,,,,,,,,,,,57,7.32,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Diamond,2.92,5.37,46.56,19.51,6.91,48,9280,1296,8.03,,,,,,,,,9.92,1.43,35,,,,,7,,,,,,,1.50,,,,,,,,,,,,,,57,7.72,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Master,2.91,6.09,48.47,19.00,6.44,45,9272,1297,7.93,,,,,,,,,9.59,1.34,35,,,,,8,,,,,,,1.61,,,,,,,,,,,,,,56,7.64,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Grandmaster,2.87,4.42,47.99,18.52,6.18,43,9240,1314,7.85,,,,,,,,,9.31,1.34,36,,,,,8,,,,,,,1.69,,,,,,,,,,,,,,55,7.47,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Zenyatta,All,5.30,3.44,50.89,13.88,5.59,66,4989,6265,6.83,,,,,,,1490.83,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5.94,1205.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Bronze,5.01,1.58,47.28,13.53,5.96,66,4780,5970,7.20,,,,,,,1384.02,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4.86,1127.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Silver,5.29,1.84,49.72,13.96,6.12,68,4948,6200,7.16,,,,,,,1455.01,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5.19,1198.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Gold,5.35,2.57,50.69,14.07,6.00,69,4954,6306,7.05,,,,,,,1480.09,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5.58,1233.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Platinum,5.34,3.34,50.70,14.20,5.83,68,5060,6331,6.90,,,,,,,1512.71,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5.99,1233.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Diamond,5.35,5.11,51.05,14.08,5.53,65,5071,6272,6.75,,,,,,,1510.10,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6.34,1205.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Master,5.24,6.20,51.30,13.39,4.99,61,4950,6129,6.59,,,,,,,1475.07,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6.27,1158.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Grandmaster,5.18,6.69,50.91,12.72,4.36,56,4867,6078,6.38,,,,,,,1429.32,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6.13,1135.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
D.Va,All,6.32,1.95,46.28,20.73,5.94,121,8423,,5.38,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,8.79,2.08,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Bronze,5.32,1.81,43.25,19.21,6.36,135,7463,,5.88,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,7.55,2.38,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Silver,5.90,1.61,45.25,20.35,6.50,133,7931,,5.74,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,8.23,2.36,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Gold,6.18,1.54,46.04,20.95,6.45,130,8233,,5.60,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,8.61,2.33,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Platinum,6.26,1.90,45.94,21.05,6.13,122,8440,,5.48,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,8.89,2.18,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Diamond,6.44,2.56,45.70,20.80,5.66,115,8574,,5.34,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,8.97,1.98,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Master,6.28,3.66,45.72,19.96,5.20,112,8441,,5.20,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,8.79,1.74,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Grandmaster,6.12,4.94,47.07,18.78,4.63,109,8292,,5.03,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,8.44,1.48,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Lucio,All,4.01,2.29,50.85,12.71,5.62,98,3591,6915,7.31,,,,,,,,,,,25,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Bronze,3.81,1.43,44.20,11.51,5.90,117,3328,7699,7.36,,,,,,,,,,,23,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.87,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Silver,3.83,1.36,47.37,11.97,6.04,112,3410,7745,7.42,,,,,,,,,,,24,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.19,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Gold,3.98,1.41,47.52,12.40,5.91,107,3515,7496,7.34,,,,,,,,,,,25,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.24,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Platinum,4.02,1.83,48.92,12.85,5.79,102,3611,7094,7.35,,,,,,,,,,,25,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Diamond,4.09,2.49,48.82,13.06,5.55,95,3682,6659,7.41,,,,,,,,,,,26,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.43,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Master,3.94,3.32,49.62,12.94,5.26,88,3625,6260,7.38,,,,,,,,,,,25,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.97,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Grandmaster,4.20,12.61,56.38,12.92,4.97,81,3717,6171,6.92,,,,,,,,,,,24,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.05,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Tracer,All,2.52,2.75,48.36,17.83,6.06,58,6613,,8.08,,,,,,,,,8.24,1.84,33,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.94,4.96,1.52,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Bronze,2.61,1.02,44.68,16.67,6.29,67,6147,,8.05,,,,,,,,,7.72,1.98,31,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.11,4.69,1.49,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Silver,2.53,1.10,44.72,17.21,6.32,65,6294,,8.10,,,,,,,,,7.92,1.97,31,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.52,4.87,1.52,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Gold,2.55,1.55,47.03,17.60,6.35,62,6488,,8.15,,,,,,,,,8.08,1.93,32,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.42,4.94,1.52,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Platinum,2.53,2.47,47.17,17.84,6.20,60,6589,,8.20,,,,,,,,,8.24,1.89,33,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.60,5.00,1.53,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Diamond,2.49,3.61,47.36,18.14,6.09,56,6684,,8.26,,,,,,,,,8.36,1.83,33,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.86,4.99,1.54,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Master,2.49,5.77,48.56,18.11,5.82,54,6714,,8.01,,,,,,,,,8.38,1.78,33,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.69,4.98,1.53,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Grandmaster,2.66,9.81,52.67,18.09,5.43,52,6933,,7.42,,,,,,,,,8.54,1.77,34,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.70,4.92,1.59,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,All,2.76,2.03,47.97,16.87,6.11,50,8323,,8.10,,,,,,,,,10.46,2.69,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.78,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Bronze,2.63,1.84,44.67,16.24,6.66,60,7962,,8.33,,,,,,,,,10.08,2.72,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4.96,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Silver,2.70,2.08,46.81,16.67,6.59,58,8175,,8.29,,,,,,,,,10.27,2.70,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.23,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Gold,2.77,2.12,47.88,16.90,6.47,54,8315,,8.18,,,,,,,,,10.44,2.68,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.51,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Platinum,2.79,2.06,47.60,17.03,6.09,49,8409,,8.07,,,,,,,,,10.57,2.71,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.89,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Diamond,2.74,2.19,47.89,16.89,5.64,44,8380,,8.08,,,,,,,,,10.51,2.73,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6.24,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Master,2.69,2.43,48.80,16.30,5.20,41,8193,,8.08,,,,,,,,,10.01,2.62,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6.31,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Grandmaster,2.48,2.26,47.04,15.42,4.99,41,7924,,8.16,,,,,,,,,9.47,2.61,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6.09,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,All,2.72,2.71,48.78,17.19,5.86,47,8804,,7.51,41,,,,,,,,9.07,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,5.41,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Bronze,2.69,1.18,45.38,15.44,6.06,52,7601,,7.26,38,,,,,,,,8.07,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,4.55,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Silver,2.74,1.54,47.71,16.19,6.12,51,7935,,7.36,39,,,,,,,,8.41,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,4.84,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Gold,2.82,1.91,48.02,16.73,6.15,51,8310,,7.39,40,,,,,,,,8.74,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,5.16,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Platinum,2.76,2.86,48.48,17.36,6.03,48,8774,,7.47,41,,,,,,,,9.15,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,5.48,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Diamond,2.68,3.82,48.42,17.66,5.81,45,9134,,7.65,41,,,,,,,,9.38,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,5.67,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Master,2.58,4.25,49.07,17.52,5.39,42,9337,,7.75,41,,,,,,,,9.33,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,5.61,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
